MSA Title,net migration,raw net migration,met2013,n_obs_for_median_real_wage,mean_nominal_wage,median_nominal_wage,mean_real_wage,median_real_wage,n_in,n_out,MSA 2010 Population
"Decatur, IL",0.0014805720063556262,164,19500,1093,52687.30517968057,42999.99999999997,42794.916980922804,34382.333333333314,2911,2747,110768
"Columbus, OH",0.0014732062583400194,2802,18140,10940,59478.49775851649,48609,46357.45185018016,36406.60606060811,41321,38519,1901974
"Ogden-Clearfield, UT",0.0014602476057465432,872,36260,2983,67281.4446192574,59660.00000000058,53040.62052972884,46013.866666666756,10326,9454,597159
"Toledo, OH",0.001455735318466691,888,45780,5153,55593.65568293609,46368,44486.65101736683,35843.677419354855,16017,15129,610001
"Dayton, OH",0.001440132527226137,1151,19380,5364,53160.69014637659,45000,41749.18313028252,33844.90909090916,20661,19510,799232
"Gadsden, AL",0.0014172172747294839,148,23460,729,51098.11702481538,45528.18367346938,42015.40316678864,37509.47058823529,2225,2077,104430
"Bakersfield, CA",0.0014029972690384228,1178,12540,5089,57211.68106220202,46368,43270.32167804476,33642.71428571397,19906,18728,839631
"Johnstown, PA",0.0013850319114136374,199,27780,1695,54171.64145496536,47041,44871.6356812933,38417.2571428572,1758,1559,143679
"Eugene, OR",0.0013647413388681176,480,21660,2487,53454.792520617295,44607,40012.35714868947,32024.74999999999,8338,7858,351715
"Charleston-North Charleston, SC",0.0013617069937572129,905,16700,4330,56794.44312393888,46629.38461538464,43598.6106806606,34310.000000000015,16372,15467,664607
"Montgomery, AL",0.0013616848580643784,510,33860,2165,53767.40300005576,41814,42721.52422907489,31738.457142857154,9716,9206,374536
"Beaumont-Port Arthur, TX",0.0013517200327389071,545,13140,3048,61364.83965102286,49459,51140.241893090126,38370.10526315794,8665,8120,403190
"Fort Wayne, IN",0.0013333109112879783,555,23060,2889,54808.0815316087,46368,44715.37493575467,36462.260869565296,8458,7903,416257
"Houston-The Woodlands-Sugar Land, TX",0.0013279472253301119,7862,26420,34373,62577.594626301594,49619,49080.75140447453,36626.2317073138,145882,138020,5920416
"Gulfport-Biloxi-Pascagoula, MS",0.0012948405997270044,480,25060,2128,48859.437978846654,41179.60784313743,37494.85629928617,30070.39285714298,9630,9150,370702
"Jacksonville, FL",0.001284932476018062,1729,27260,8792,58106.44888075926,47041,44661.53267763168,34513.60784313736,36033,34304,1345596
"Oklahoma City, OK",0.0012713619534759739,1593,36420,7109,58000.60799928418,48609,46558.737681937484,37772.15686274633,34992,33399,1252987
"Norwich-New London, CT",0.0012333290762803087,338,35980,1964,68434.9247191829,56708,52017.99602125234,41734.20338983055,5676,5338,274055
"Seattle-Tacoma-Bellevue, WA",0.0012050087664751154,4145,42660,21593,73202.37412825189,60758,54993.189306420354,43432.10666666571,79595,75450,3439809
"Hilton Head Island-Bluffton-Beaufort, SC",0.0011764076787337575,220,25940,1028,52335.653364632235,40552,39883.97965571205,28994.074074074073,4071,3851,187010
"Monroe, MI",0.0011445787095203952,174,33780,1117,66878.97708246525,61566.571428572206,54059.38285541119,48989.068493150924,2694,2520,152021
"Albuquerque, NM",0.00110249730293988,978,10740,4706,52893.8287334341,42332.69565217399,40496.79617366324,31383.26666666671,17331,16353,887077
"Baton Rouge, LA",0.001087872156952662,873,12940,4433,62845.37515978378,50632,51450.38758323377,39623.244444444405,13872,12999,802484
"Nashville-Davidson--Murfreesboro--Franklin, TN",0.0010820580648636356,1808,34980,12550,57283.52451275254,47041,44903.48947343777,36008.19607843158,40054,38246,1670890
"Morgantown, WV",0.0010793391360661173,140,34060,779,55174.11404042452,46635,46504.35293720003,37950.629629629686,1447,1307,129709
"Omaha-Council Bluffs, NE-IA",0.0010712428497139887,927,36540,6234,60360.70134528535,50697.84848484848,47832.70519871826,39428.444444444445,23348,22421,865350
"Virginia Beach-Norfolk-Newport News, VA-NC",0.0010579536766573913,1774,47260,11332,60180.605775737364,50690,44520.11428293576,35893.58974358848,44168,42394,1676822
"Reading, PA",0.001042674301602656,429,39740,2945,63319.020680922906,54706.657894736694,48835.20526167699,41164.255319148804,7443,7014,411442
"Columbia, SC",0.0010226707208721231,785,17900,5264,53086.37071880454,44000,41908.803092277485,33397.23076923098,15940,15155,767598
"Janesville-Beloit, WI",0.0010166468119078655,163,27500,1043,55656.03046057223,49658.666666666664,43104.956210746685,36942.499999999985,4002,3839,160331
"Kansas City, MO-KS",9.953507168018187e-4,2000,28140,13019,60330.28297443137,50690,47648.20677369606,38760.7999999996,46211,44211,2009342
"Sacramento--Roseville--Arden-Arcade, CA",9.557369108479862e-4,2054,40900,13447,63096.61439025474,51222,45859.67703786747,35700,48419,46365,2149127
"Cincinnati, OH-KY-IN",9.533808132111342e-4,2016,17140,12953,60601.22476042304,50632,48061.47386087158,38558.019999999415,44431,42415,2114580
"Tuscaloosa, AL",9.42814191743207e-4,217,46220,1253,57348.7044701082,47041,46652.66760173412,36000.13636363636,3446,3229,230162
"Springfield, OH",9.180745013843407e-4,127,44220,1255,51680.73158484645,42927.13333333328,41207.947724725396,34146.999999999935,3510,3383,138333
"Riverside-San Bernardino-Ontario, CA",9.072509302694936e-4,3833,40140,26806,62832.38585901696,51524.69677419433,45231.12999827252,35770.30487804951,80887,77054,4224851
"Santa Maria-Santa Barbara, CA",8.964484129324479e-4,380,42200,2237,67139.40420892791,55759,47602.6204372457,37313.411764705925,7157,6777,423895
"Portland-Vancouver-Hillsboro, OR-WA",8.751087708989497e-4,1948,38900,14583,63075.033227332664,52550,47061.17270767083,38008.01657458546,50508,48560,2226009
"Grand Rapids-Wyoming, MI",8.655749905454134e-4,856,24340,4296,59143.91998316117,50632,47156.48916809689,39283.991228070176,16885,16029,988938
