state,migpuma_name,net migration,raw net migration,migpuma1,n_obs_for_median_real_wage,median_real_wage,migpuma_population,top_place_population,proportion_in_named_place,n_out,n_in,n_obs_n_in,net migration (not foreign)
Arizona,Maricopa County,0.0020400095630363478,7782,100,17990,70679.90476190447,3814688,2357151,0.6179144926138127,54468,62250,2930,0.0015398375961546528
Indiana,Bartholomew & Jackson Counties,0.0020225368390638545,238,2900,439,73717.59701492537,117674,117674,1,1202,1440,56,-2.974318880976256e-4
Georgia,Atlanta Regional Commission,0.0020206879961510707,210,2400,726,86346.46875000003,103925,103925,1,1581,1791,76,0.0012701467404378157
Texas,Alamo Area COG,0.0020125938274697464,233,5800,496,79821.62500000003,115771,115771,1,1300,1533,76,0.0019262164099817744
California,Sonoma County,0.002012478205155137,958,9700,2228,67040.6363636365,476030,476030,1,4934,5892,269,0.0016700628111673635
New York,Jefferson & Lewis Counties,0.0020040643832052374,285,500,614,60774.78260869565,142211,142211,1,1543,1828,104,1.2657248736033078e-4
Kentucky,Bluegrass Area Development District,0.002003490378278853,605,1900,1957,66194.98795180707,301973,301973,1,7044,7649,342,3.079745540164187e-4
Utah,Davis County,0.001997196364724598,634,11000,1274,75205.99999999988,317445,317445,1,2859,3493,142,0.001518373261509868
Minnesota,Washington County,0.0019966311983895483,486,1200,1043,94230.65384615384,243410,243410,1,3575,4061,112,0.0017378086356353477
Kansas,Northeast Kansas,0.0019725368686612146,233,400,436,71702.19999999997,118122,118122,1,1757,1990,77,1.0158988164778788e-4
South Dakota,Lakota Region,0.0019563859099243053,191,200,372,49908.24999999997,97629,97629,1,507,698,39,0.001741285888414303
New Jersey,Somerset County,0.001943308337180137,602,1000,2560,109991.82022471911,309781,309781,1,4010,4612,220,9.200047775686695e-4
Michigan,Kent County,0.0019394886143614435,1177,1000,2276,68885.66666666688,606861,606861,1,8279,9456,311,0.0013116677459912567
Washington,Pierce County,0.001923828075461744,1517,11500,3269,70076.62295081974,788532,788532,1,7971,9488,481,0.001665119487858451
Ohio,Allen County,0.0018934024543355878,187,2500,313,61986.75000000001,98764,98764,1,658,845,32,0.0018934024543355878
Texas,Rio Grande COG & Permian Basin Regional Planning Commission,0.0018904696940167608,194,3200,287,67418.99999999997,102620,102620,1,522,716,45,0.0017442993568505165
Texas,Houston-Galveston Area Council,0.0018854909174522878,615,4800,1007,86910.07692307692,326175,326175,1,2801,3416,100,0.00133363991722235
Delaware,New Castle County,0.0018556122174277561,965,100,2837,79607.27272727274,520044,520044,1,7313,8278,361,6.499450046534524e-4
California,"Alpine, Amador, Calaveras, Inyo, Mariposa, Mono & Tuolumne Counties",0.0018398323708284357,324,300,483,53147.11224489797,176103,176103,1,932,1256,69,0.0017205839764228889
Washington,Clallam & Jefferson Counties,0.00183435184517246,178,11900,272,47066.49999999999,97037,97037,1,705,883,41,0.0015767181590527325
Missouri,"St. Francois, Washington, Perry & Ste. Genevieve Counties",0.0018084173608066637,231,2100,212,59436,127736,127736,1,358,589,22,0.0016831590154694057
Michigan,Northeast Lower Peninsula,0.001803557997820381,235,300,471,53560.23684210523,130298,130298,1,413,648,49,0.0017344855638613025
Indiana,"Wayne, Fayette, Rush & Union Counties",0.001776526977705466,202,2600,359,66896.01960784313,113705,113705,1,557,759,42,0.0016094279055450507
North Carolina,Durham County,0.001762381612015213,500,1300,1837,62191.75000000009,283707,283707,1,7975,8475,348,-3.524763224030426e-4
California,Humboldt County,0.001752154189568682,219,2300,597,39204.34782608703,124989,124989,1,1418,1637,85,0.001752154189568682
Ohio,Lorain County,0.001751059407811277,519,800,919,76001.59459459466,296392,296392,1,1959,2478,86,0.0015553726146454695
Minnesota,"Beltrami, Becker, Hubbard, Clearwater, Mahnomen & Lake of the Woods Counties",0.0017463919719158895,197,200,605,59083.705882352915,112804,112804,1,743,940,66,0.0017463919719158895
Michigan,Eaton & Clinton Counties,0.0017356806347632037,308,1900,814,71140.19512195123,177452,177452,1,1715,2023,93,0.0014313729910060185
Massachusetts,Berkshire County,0.0017356646952944202,216,100,839,62400.66666666659,124448,124448,1,1229,1445,81,0.0014303162766778092
Texas,Jefferson County,0.001728459078731311,420,4300,678,69225.93103448277,242991,242991,1,1464,1884,87,0.001008267795926598
Kansas,Central Kansas,0.0017227472341442528,173,1000,327,64702.82352941172,100421,100421,1,388,561,25,0.0017227472341442528
New Hampshire,Northern New Hampshire,0.001715488784342266,198,100,773,67229.93617021276,115419,115419,1,1325,1523,86,0.0012909486306414023
South Carolina,Greenville County,0.001708967325941387,881,100,2628,68623.40983606556,515516,363472,0.7050644402889532,7046,7927,411,9.136476850379038e-4
Utah,Salt Lake County,0.0017061221429663072,1775,35000,4347,70997.33333333276,1040371,1040371,1,13508,15283,648,0.0013187603268449428
Texas,Deep East Texas COG,0.0016918316975097628,292,3900,330,55783.06666666665,172594,172594,1,903,1195,47,8.690916254330974e-4
Rhode Island,Central Rhode Island,0.0016892731157152085,272,201,859,75920.06666666667,161016,161016,1,1905,2177,96,0.0010247428826948874
Georgia,Coastal Regional Commission,0.0016877990795208632,443,400,1347,58863.499999999985,262472,262472,1,4618,5061,247,3.352738577829254e-4
California,Sacramento County,0.001687257204326068,2381,6700,6271,71971.11363636352,1411166,1411166,1,18295,20676,987,0.0012252279320788624
Ohio,Columbus,0.001685545282805996,1987,4100,6489,66088.19999999968,1178847,744775,0.6317825807759616,23996,25983,1017,7.032295115481483e-4
Alabama,Limestone & Madison,0.0016730778326055084,849,290,2526,82368.45000000006,507448,170698,0.3363852059718434,6661,7510,291,9.498510192177327e-4
Colorado,Larimer County,0.0016665604486648397,523,100,1983,68908.14285714286,313820,313820,1,6145,6668,333,0.0013574660633484162
Alabama,Montgomery City & Pike Road Town,0.0016421823768780722,590,2090,1358,65107.8260869567,359278,190061,0.5290081775115648,3441,4031,175,7.375903896147273e-4
Kentucky,Pennyrile Area Development District,0.0016381674612085627,178,300,242,56325.18867924527,108658,108658,1,608,786,33,-3.497211434040752e-4
Florida,Palm Beach County,0.001624109710591572,2050,9900,6746,65912.17142857147,1262230,1262230,1,16756,18806,1046,0.0011717357375438707
Texas,Texoma COG,0.0016170376494199982,311,800,671,68739.99999999993,192327,192327,1,1032,1343,84,0.0015754418256407057
South Carolina,Horry County,0.0016043348916277094,453,1100,891,52047.666666666715,282360,282360,1,2461,2914,137,0.0015760022666100014
Texas,Fort Bend County,0.001603971506635441,1052,4900,3071,103899.98214285691,655872,655872,1,8678,9730,352,-3.948941256830601e-4
Florida,Broward County,0.0015944030459092173,2660,1100,8530,61415.61290322583,1668336,1668336,1,23646,26306,1249,3.698295786939801e-4
New Mexico,Albuquerque City,0.0015639014413601228,1095,790,2797,58826.33333333336,700172,607368,0.86745542523837,9693,10788,405,7.569568620281874e-4
Nebraska,Southwest Nebraska,0.001539279617139179,165,400,371,62358.60273972603,107193,107193,1,825,990,40,0.0014739768455029713
Iowa,"Des Moines, Lee, Henry & Louisa Counties",0.001534401876465989,157,2300,292,60058.379310344826,102320,102320,1,381,538,27,0.0013975762314308053
Washington,"Lewis, Klickitat & Skamania Counties",0.0015322960867515322,156,11000,321,54834.36363636361,101808,101808,1,379,535,28,0.0013653151029388653
Georgia,Coastal Regional Commission,0.0015320836337418889,221,100,429,60285.714285714195,144248,144248,1,1761,1982,95,0.0015320836337418889
Arkansas,"White, Jackson, Prairie & Woodruff Counties",0.0015315925778095442,165,800,254,55406.47826086956,107731,107731,1,495,660,30,0.00145733354373393
Minnesota,Ramsey County,0.0015282265581308644,787,1300,2029,71230.42857142874,514976,514976,1,9712,10499,308,8.000372832908719e-4
Minnesota,"Rice, Goodhue & Le Sueur Counties",0.0015245199534844145,215,2300,664,76380.11764705883,141028,141028,1,906,1121,54,0.0015245199534844145
New Mexico,Far Southeast New Mexico,0.0015162871641122397,176,1200,200,69504.03773584907,116073,116073,1,591,767,29,9.390642095922394e-4
Kentucky,Northern Kentucky Area Development District,0.0015142164566062464,238,2400,738,71161.24324324324,157177,157177,1,1687,1925,98,0.0011706547395611317
Minnesota,Olmsted County,0.0014977568000219853,218,2500,724,86638.18750000001,145551,145551,1,1874,2092,74,1.2366799266236577e-4
Nebraska,Central Nebraska,0.001493243305910832,161,300,396,57451.724137931036,107819,107819,1,569,730,38,9.924039362264536e-4
Missouri,St. Charles County,0.0014886262562780615,559,1700,1957,88502.16666666669,375514,375514,1,4263,4822,194,9.427078617574844e-4
North Carolina,Wilkesboro High Country,0.0014876625440381924,220,200,368,57812.05882352937,147883,147883,1,367,587,31,0.0014403278267278862
New Hampshire,Southwestern New Hampshire,0.001485725469960766,167,500,679,62261.999999999956,112403,112403,1,1315,1482,72,9.697250073396617e-4
Illinois,DuPage County,0.0014529644479847627,1306,3200,6466,88732,898852,786275,0.8747546870897545,15834,17140,796,5.351270286988292e-4
Nevada,Washoe County,0.0014450486116270097,603,100,1830,64349.500000000065,417287,417287,1,5467,6070,279,0.0010280694102620018
Pennsylvania,Centre County,0.0014379986210972127,219,1200,700,65452.77966101698,152295,152295,1,2768,2987,96,-2.6264814997209365e-4
Ohio,Medina County,0.0014284376170850507,244,1900,861,83617.5950413223,170816,170816,1,1361,1605,84,8.020325964780817e-4
North Carolina,Craven County,0.0014271486801441522,139,4300,299,56471.75675675675,97397,97397,1,987,1126,49,-8.727168187931866e-4
Maryland,Carroll County,0.0014264817881795432,236,400,947,95039.34482758622,165442,165442,1,1151,1387,71,0.0014264817881795432
South Carolina,Charleston,0.0014205782624495814,946,1200,3459,65666.99999999993,665926,333539,0.5008649609716395,11250,12196,571,8.139042476191049e-4
Kentucky,Northern Kentucky Area Development District,0.0014123282589311864,217,2600,590,72979.18181818181,153647,153647,1,1102,1319,69,0.0012756513306475233
Ohio,Fairfield County,0.0014118195338254141,206,3900,530,83934.39999999994,145911,145911,1,1034,1240,59,0.0013227241263509947
Pennsylvania,Cumberland County,0.0014028729158066344,401,2300,1211,73680.90322580645,285842,148112,0.5181603823091079,2844,3245,119,8.606153049586834e-4
Arkansas,Washington County,0.0013969506825694672,303,200,733,67138.4468085106,216901,216901,1,2791,3094,98,5.301958036154743e-4
Ohio,Wayne County,0.001395667363055558,161,2000,412,64571.894736842354,115357,115357,1,750,911,51,0.0011095988973360957
Georgia,Atlanta Regional Commission,0.001387506409676349,184,4400,465,65426.727272727214,132612,132612,1,1226,1410,50,0.0012970168612191958
Virginia,"Hanover, Powhatan, Goochland, New Kent, King William & Charles City Counties",0.0013734384373322668,261,51215,1015,84069.07692307691,190034,190034,1,1452,1713,86,0.0010050833008829999
Arkansas,"Independence, Cleburne, Van Buren, Sharp, Izard, Stone & Fulton Counties",0.0013726151769830072,179,400,261,57990.02380952381,130408,130408,1,403,582,25,0.0013726151769830072
Georgia,Atlanta Regional Commission,0.001328371426581359,267,6000,609,60428.75000000001,200998,200998,1,2105,2372,66,0.001223892775052488
