state,migpuma_name,net migration,raw net migration,migpuma1,n_obs_for_median_real_wage,mean_nominal_wage,median_nominal_wage,median_real_wage,mean_real_wage,migpuma_population,top_place_population,proportion_in_named_place,n_out,n_in,n_obs_n_in,net migration (not foreign)
Hawaii,"Maui, Kalawao & Kauai Counties",-0.0022911672505992993,-497,100,782,97287.60271493213,81093.6666666667,60428,73669.71312217195,216920,216920,1,2288,1791,82,-0.002650746819103817
Louisiana,Acadiana Regional Development District 1,-0.002391280169057947,-258,1000,206,82600.99025229357,67973.27027027027,56593.71428571425,71827.17144495413,107892,107892,1,455,197,10,-0.002391280169057947
New Jersey,Hudson County,-0.002392709950555857,-1535,600,4380,135173.17486229696,104536,81601.36363636363,108928.27176530001,641532,641532,1,17642,16107,851,-0.004168147496929226
North Carolina,Chatham & Lee Counties,-0.002401982913554168,-282,1500,466,107958.45574759309,87474.1,70082.09090909094,89533.21366430809,117403,117403,1,1241,959,52,-0.002563818641772357
Utah,Utah County,-0.0024246470322833867,-1322,49000,2563,96162.3030582488,83232.67567567702,65527.157894737116,78649.2423668403,545234,545234,1,7160,5838,313,-0.0025713730251598396
New Mexico,Eastern Plains New Mexico,-0.0024287371650999145,-224,400,259,74659.22392848958,74629.99999999994,60988.3265306122,62088.680724272286,92229,92229,1,695,471,26,-0.0026347461210682105
Ohio,Portage County,-0.002459127493819909,-381,1700,539,107383.33795918367,92027.00000000003,76800.40540540543,90724.60163265307,154933,154933,1,1599,1218,64,-0.002814119651720421
Mississippi,South Region,-0.002484286885449532,-300,2100,342,96788.98328228688,81104.00000000007,65679.35211267608,80202.1456100051,120759,120759,1,1412,1112,41,-0.002484286885449532
Georgia,Northwest Georgia Regional Commission,-0.002485190294571127,-245,2900,243,92783.92044156833,83399.63768115941,67307.25688073394,77241.27103159498,98584,98584,1,1019,774,29,-0.0026982066055343664
Texas,Central Texas COG,-0.002494785489346039,-427,3400,506,83710.62935126582,67034.26829268291,51515.71134020619,68786.41890822785,171157,171157,1,1483,1056,70,-0.002494785489346039
Tennessee,Wilson County,-0.0025271713610013065,-296,2300,421,105660.70430408049,96077.6111111111,78206.40625,87960.23342649525,117127,117127,1,1277,981,43,-0.002945520674140036
Wisconsin,La Crosse County,-0.0025784975724178374,-299,900,415,95368.50151470731,82431.36363636363,67478.15789473684,79562.52086387179,115959,115959,1,1491,1192,43,-0.0027682198018265077
New York,Genesee & Orleans Counties,-0.0025819285097148825,-257,1000,397,85856.31378465019,78890.26315789472,64238.999999999956,71960.68489534226,99538,99538,1,658,401,26,-0.0026823926540617653
Idaho,Twin Falls & Cassia Counties,-0.002584506563286404,-266,900,241,75364.39615113824,61825.475409836065,50360.78313253012,62035.70523351326,102921,102921,1,681,415,22,-0.002584506563286404
Rhode Island,South Rhode Island,-0.0026452886357753043,-327,400,867,123008.18177497115,105116.0869565215,83233.27586206894,100068.2298499355,123616,123616,1,1362,1035,58,-0.002750453015790836
Missouri,Jasper & Newton Counties,-0.0026926960619320095,-464,2800,554,93245.11511957843,72005.23529411758,61158.63855421684,79515.7020672882,172318,172318,1,1413,949,53,-0.0027333186318318457
Virginia,New River Valley Planning District Commission,-0.002711047948450137,-475,51040,639,96050.83973223076,75948,61130.19999999999,80634.00964756843,175209,175209,1,3074,2599,95,-0.0034758488433813332
Texas,Middle Rio Grande Development Council,-0.0027523473032852485,-423,6200,258,83777.21071752952,72840.9318181818,55935.290322580615,71342.91099000908,153687,153687,1,1268,845,32,-0.0036047290922459284
Colorado,Northwest Colorado,-0.0027619358851372006,-262,200,451,92190.4270783848,79394.99999999983,59167.86538461536,71031.14204275534,94861,94861,1,1486,1224,58,-0.002804102845215631
