name,stname,household_inc_everyone,household_inc_minus_housing_lowskill
Lawrence city,Massachusetts,92268,48351
Jackson city,Tennessee,67133,48313
Auburn city,Alabama,68601,48297
Effingham County,Georgia,60449,48283
Brevard County,Florida,69978,48276
Ocean City city,New Jersey,74444,48271
Bakersfield city,California,67411,48224
Lafourche Parish,Louisiana,57827,48224
Rockingham County,North Carolina,58513,48221
Fort Collins city,Colorado,74688,48219
Chillicothe city,Ohio,57885,48116
St. Tammany Parish,Louisiana,71951,48110
Jamestown city,New York,61471,48101
Macomb city,Illinois,57305,48088
Arlington CDP,Virginia,107582,48067
Iredell County,North Carolina,65776,48056
Kent County,Delaware,65699,48037
Queen Anne's County,Maryland,70110,48024
Cape Coral city,Florida,69046,48022
Skagit County,Washington,65667,48014
Fall River city,Massachusetts,65915,47953
Johnston County,North Carolina,61202,47941
Meadville city,Pennsylvania,61077,47927
Hudson city,New York,68039,47919
Mount Vernon city,Illinois,61063,47902
Brainerd city,Minnesota,62124,47894
New Castle city,Pennsylvania,61852,47876
Stanly County,North Carolina,59125,47861
Orange County,Florida,72127,47858
Waco city,Texas,64877,47832
Glens Falls city,New York,63932,47802
Florence County,South Carolina,62720,47799
Hutchinson city,Kansas,59487,47759
Lewiston city,Idaho,60315,47754
Portsmouth city,Virginia,64420,47733
Pottsville city,Pennsylvania,60246,47715
Binghamton city,New York,70743,47700
Macon city,Georgia,74144,47671
Marshalltown city,Iowa,60944,47660
Amsterdam city,New York,60582,47636
Traverse City city,Michigan,67808,47559
Aiken County,South Carolina,66981,47551
Paducah city,Kentucky,61301,47533
Revere city,Massachusetts,67510,47532
Spokane city,Washington,68456,47528
Albemarle County,Virginia,72419,47516
Utica city,New York,63601,47511
Nampa city,Idaho,60965,47493
Kanawha County,West Virginia,65084,47492
Odessa city,Texas,58399,47458
Salinas city,California,75295,47455
Wilkes-Barre city,Pennsylvania,63337,47406
Fargo city,North Dakota,72480,47389
Monroe County,Georgia,63673,47385
Colorado Springs city,Colorado,76393,47367
New York city,New York,72091,47358
Hempfield township,Pennsylvania,67417,47337
Lynchburg city,Virginia,64453,47296
Hampton city,Virginia,62180,47257
Yuba City city,California,61881,47229
Greenville city,North Carolina,70397,47197
St. Marys city,Pennsylvania,57996,47194
Sussex County,Delaware,65423,47187
Texarkana city,Arkansas,56449,47179
Tyler city,Texas,65915,47171
Henry County,Virginia,58370,47171
Sherman city,Texas,61542,47161
Berkeley County,South Carolina,61274,47142
Collier County,Florida,73454,47137
Mount Vernon city,Ohio,60538,47129
College Station city,Texas,74107,47092
Hardin County,Kentucky,58769,47081
Scranton city,Pennsylvania,66037,47075
Athens-Clarke County,Georgia,67911,46977
Leavenworth city,Kansas,59925,46962
Tallahassee city,Florida,74966,46951
Bridgeport city,Connecticut,59972,46931
Catoosa County,Georgia,60690,46920
Salem city,Oregon,67798,46877
Longview city,Texas,66152,46864
Laconia city,New Hampshire,63543,46861
Blacksburg town,Virginia,65395,46855
San Rafael city,California,113045,46838
Nashville-Davidson,Tennessee,74095,46799
Terrebonne Parish,Louisiana,59739,46784
Corning city,New York,62949,46779
Tipton County,Tennessee,61690,46773
Corvallis city,Oregon,67419,46763
Wayne County,North Carolina,59001,46753
Sarasota County,Florida,67999,46727
Danville city,Illinois,59814,46719
Eau Claire city,Wisconsin,66243,46712
Wooster city,Ohio,64295,46696
Los Angeles city,California,79087,46691
Laurens County,Georgia,59896,46664
Bangor city,Maine,63322,46662
Pocatello city,Idaho,62240,46657
Philadelphia city,Pennsylvania,62241,46606
Ogdensburg city,New York,57357,46604
Vincennes city,Indiana,58711,46602
Martin County,Florida,73903,46598
Cumberland County,North Carolina,60514,46553
San Angelo city,Texas,61504,46540
Bradley County,Tennessee,59389,46468
Berkeley County,West Virginia,60098,46366
Knox County,Tennessee,69625,46348
Effingham city,Illinois,57520,46302
Ithaca city,New York,66934,46282
Chattanooga city,Tennessee,67543,46282
Burke County,Georgia,55619,46222
Watertown city,New York,58752,46168
Seattle city,Washington,89335,46158
Williamsport city,Pennsylvania,63395,46149
Cheyenne city,Wyoming,64930,46148
Pickens County,South Carolina,60232,46124
Port St. Lucie city,Florida,59661,46115
Big Rapids city,Michigan,59471,46091
San Luis Obispo County,California,72256,46084
Marietta city,Ohio,56573,46070
San Antonio city,Texas,66321,46033
Newport News city,Virginia,63121,46017
Tucson city,Arizona,66851,45994
Jacksonville city,Illinois,56631,45989
Fayetteville city,Arkansas,63115,45952
Lubbock city,Texas,64939,45951
Wicomico County,Maryland,64634,45895
Walker County,Alabama,58202,45894
Baldwin County,Alabama,64812,45893
Augusta County,Virginia,59919,45831
Putnam County,Florida,58614,45801
Fremont County,Colorado,59883,45797
East Liverpool city,Ohio,57037,45796
Cortland city,New York,60828,45794
Chilton County,Alabama,56100,45768
Huntington city,West Virginia,65099,45760
Steubenville city,Ohio,55260,45755
Madera city,California,61913,45747
Portland city,Maine,64107,45715
Mobile city,Alabama,62845,45697
Newton city,Massachusetts,137638,45693
Pinal County,Arizona,55469,45683
Hannibal city,Missouri,53693,45618
Lancaster County,South Carolina,57211,45590
Cape Girardeau city,Missouri,58798,45567
Lincoln County,Tennessee,62160,45545
Lowell city,Massachusetts,64549,45535
Corsicana city,Texas,55340,45527
Albuquerque city,New Mexico,70218,45516
Coffee County,Georgia,54634,45481
Wheeling city,West Virginia,58400,45479
Wilson city,North Carolina,59530,45461
Flagstaff city,Arizona,65029,45386
Baltimore city,Maryland,61834,45347
Bay City city,Texas,57347,45335
Monongalia County,West Virginia,61848,45329
Laurens County,South Carolina,57116,45278
State College borough,Pennsylvania,68004,45257
Hardeman County,Tennessee,54388,45246
Bend city,Oregon,66757,45238
Oscoda township,Michigan,56350,45223
Iberville Parish,Louisiana,57375,45217
Tuolumne County,California,62735,45216
Hobbs city,New Mexico,53017,45197
Winona city,Minnesota,61494,45193
San Juan County,New Mexico,56145,45188
Fort Smith city,Arkansas,60490,45146
Jersey City city,New Jersey,69614,45140
Olean city,New York,57579,45127
San Francisco city,California,88714,45107
Blount County,Tennessee,64534,45100
Panola County,Mississippi,55125,45096
Sharon city,Pennsylvania,59541,45092
Madison County,Kentucky,55999,45086
Osceola County,Florida,59312,45081
Troup County,Georgia,60680,45068
Lauderdale County,Alabama,61299,45065
Montgomery city,Alabama,65964,45049
Spencer city,Iowa,57031,45034
Miami city,Florida,71821,45032
Albany city,Georgia,62313,45024
Ashland city,Kentucky,57027,44987
Pasco County,Florida,59198,44980
Dodge County,Georgia,55261,44974
Rockingham County,Virginia,61594,44960
Mason City city,Iowa,58008,44940
Bowling Green city,Kentucky,60830,44929
Summit County,Colorado,79262,44899
Greenwood County,South Carolina,60363,44890
Parkersburg city,West Virginia,58491,44888
Augusta-Richmond County,Georgia,62073,44812
Clarksville city,Tennessee,60462,44805
Killeen city,Texas,61751,44765
Jackson County,Georgia,57217,44748
Gibson County,Tennessee,55614,44744
Gulfport city,Mississippi,60266,44743
Moore County,North Carolina,57468,44706
Meridian city,Mississippi,55966,44695
Bossier City city,Louisiana,59399,44668
Pine Bluff city,Arkansas,57433,44625
Oil City city,Pennsylvania,56024,44619
Manhattan city,Kansas,57452,44576
Volusia County,Florida,60880,44563
Santa Fe city,New Mexico,72242,44548
Cleveland County,North Carolina,56517,44540
Harnett County,North Carolina,57654,44510
Merced city,California,59461,44468
Columbus city,Georgia,62875,44425
Yakima city,Washington,63305,44401
Gadsden city,Alabama,58805,44386
Monroe city,Wisconsin,57769,44378
River Falls city,Wisconsin,56704,44378
Valdosta city,Georgia,57388,44362
Nelson County,Kentucky,54679,44342
Escambia County,Florida,61513,44294
Wilmington city,North Carolina,63945,44293
Columbia County,Florida,55972,44266
Columbia County,Oregon,59055,44250
Moorhead city,Minnesota,57317,44232
Fresno city,California,65743,44231
Eugene city,Oregon,64632,44216
St. George city,Utah,60909,44202
Barre city,Vermont,60063,44195
Quincy city,Illinois,56879,44163
Cadillac city,Michigan,58993,44143
Ouachita Parish,Louisiana,59974,44069
Wilson County,Texas,53805,44054
Augusta city,Maine,58472,44048
Charleston city,Illinois,55542,44035
Huntingdon borough,Pennsylvania,54022,44016
Accomack County,Virginia,58521,44014
Henderson County,Texas,54328,43995
Hot Springs city,Arkansas,55378,43969
Dorchester County,South Carolina,59931,43929
Lebanon city,New Hampshire,63715,43925
Granville County,North Carolina,55587,43900
Bulloch County,Georgia,58683,43894
Escambia County,Alabama,55126,43877
Portsmouth city,Ohio,53952,43867
West Memphis city,Arkansas,54839,43856
Cherokee County,South Carolina,55527,43853
Santa Rosa County,Florida,63226,43838
Lake County,Florida,62796,43802
Muhlenberg County,Kentucky,54414,43787
Lafayette city,Louisiana,61476,43716
Olney city,Illinois,54131,43709
Ironton city,Ohio,54973,43695
Rolla city,Missouri,54925,43670
Surry County,North Carolina,55830,43617
Skowhegan CDP,Maine,55672,43611
Pope County,Arkansas,54664,43610
Harrisburg city,Illinois,54634,43595
New Haven city,Connecticut,63877,43591
Charlotte County,Florida,62224,43580
Benton County,Arkansas,60256,43563
Douglas County,Oregon,58031,43544
Okaloosa County,Florida,63710,43524
Columbus County,North Carolina,53691,43450
El Dorado city,Arkansas,54403,43436
DuBois city,Pennsylvania,53122,43432
Carbondale city,Illinois,56583,43380
Lewis County,Washington,55893,43350
Van Zandt County,Texas,53872,43312
Mason County,Washington,57165,43275
Garden City city,Kansas,53726,43273
New Iberia city,Louisiana,52460,43272
Athens city,Ohio,57130,43264
Billings city,Montana,64877,43253
Darlington County,South Carolina,55505,43223
Tift County,Georgia,54670,43196
New Ulm city,Minnesota,54083,43189
Allegany County,Maryland,57577,43155
Warren County,Tennessee,53529,43152
Okeechobee County,Florida,67204,43146
Fort Dodge city,Iowa,53592,43133
New Philadelphia city,Ohio,55270,43130
Idaho Falls city,Idaho,61987,43125
