res_stname,res_state,res_puma,place_name,pop,real_wage_high_skill,real_wage_low_skill,nominal_wage_everyone,nominal_wage_high_skill,nominal_wage_low_skill,n_move_in_high_skill,n_move_in_low_skill,n_move_out_high_skill,n_move_out_low_skill,net_mig_low_skill,net_mig_high_skill
Texas,48,3e3,Permian Basin Regional Planning Commission,41744,114337.56978034168,67631.43530552862,97266.86569481001,134511.54670512537,80985.4129970902,2209,4265,1752,3884,0.009127060176312764,0.010947681103871214
Minnesota,27,600,"Chisago, Isanti, Pine, Mille Lacs & Kanabec Counties",41731,87075.35441642551,52507.98397898398,75826.89166958348,105774.6929860824,67785.62944462945,666,3122,761,2898,0.0053677122522824755,-0.0022764851069948
Arizona,4,600,Mohave & La Paz Counties,41700,77288.28743346447,38446.205957883925,55656.81972187105,91137.20944225874,49094.98253723678,1242,5810,1251,5712,0.0023501199040767387,-2.158273381294964e-4
Texas,48,100,Panhandle Regional Planning Commission,41632,79365.6034453922,49891.46512879662,64785.63390540498,92429.691754474,58431.00792003076,837,4204,741,3861,0.008238854727132974,0.0023059185242121443
Minnesota,27,900,Stearns County,41572,89330.85815452912,51347.552989746844,77055.18572834333,106281.79737871261,64510.36344251883,1648,3156,2083,3182,-6.254209564129703e-4,-0.010463773693832387
Texas,48,900,Hunt & Rockwall Counties,41463,103763.55086125631,59193.78722790832,92402.93746921183,125419.03633559002,73890.378838114455,1479,2990,1561,2953,8.923618647951186e-4,-0.0019776668354918843
New Mexico,35,190,Northwest New Mexico,41323,74590.24262048193,48846.636865671644,63392.7494916268,87002.7390060241,57543.11029850746,1011,2737,1186,2949,-0.00513031483677371,-0.0042349297001669775
Georgia,13,3400,Georgia Mountains Regional Commission,41292,85900.87209929843,47362.921313980136,72444.6944283669,104464.66486778198,59853.869111280874,888,3327,982,3268,0.0014288482030417515,-0.0022764700184055024
Maryland,24,1600,Charles County,41281,111806.16659810777,73253.20525904473,111191.88159136487,138403.6547099959,95986.66381648509,1229,2567,1084,2493,0.0017925922337152685,0.003512511809306945
Maryland,24,1400,"Wicomico, Worcester & Somerset Counties",41257,82977.87469924116,47552.841361154446,75532.4006641548,101263.60707014622,61976.851891575665,1379,3609,1502,3449,0.0038781297719174927,-0.0029813122621615727
Maryland,24,1300,"Queen Anne's, Talbot, Caroline, Dorchester & Kent Counties",41218,90248.87486703413,48966.206624327424,80048.38976222929,112341.16729523258,65320.52469789186,1382,2906,1037,2878,6.793148624387403e-4,0.008370129555048764
Louisiana,22,1300,Acadiana Regional Development District 5,41187,93208.78072669826,52054.984183097054,69379.05170422577,106501.83096366508,60815.066401836804,640,3168,484,3126,0.001019739238109112,0.0037876028844052736
