statefip,sea,skill,hhinc,cost,costShared,incShared,stay,inMig,outMig,year,index,basePop,basePopTot,netMig,lr,lincShared
Colorado,047,0,11240.38,1476.2928,112.26428,13412.894,18484,3346,5032,1940,16.39529854910714,23516,34993,-.048181064,9.1864662,9.5039721
Colorado,048,1,14171.514,4423.978,117.79854,9535.1943,10899,5988,2700,1940,16.39529854910714,13599,51460,.063894287,9.1847696,9.1627445
Colorado,048,0,7570.3081,1230.7096,117.79854,9535.1943,35176,7176,2685,1940,16.39529854910714,37861,51460,.087271668,8.754571,9.1627445
Colorado,050,0,9049.2588,3043.2151,197.31636,11836.608,44198,7734,5900,1940,16.39529854910714,50098,75593,.024261506,8.7005215,9.378952
Colorado,050,1,16865.254,3996.8003,197.31636,11836.608,19895,5043,5600,1940,16.39529854910714,25495,75593,-.0073684072,9.462534,9.378952
Colorado,051,0,8893.3633,2188.2371,166.05957,12186.146,30073,3900,5164,1940,16.39529854910714,35237,55222,-.022889428,8.8106279,9.4080553
Colorado,051,1,16684.037,4080.4558,166.05957,12186.146,15231,2277,4754,1940,16.39529854910714,19985,55222,-.044855312,9.4417362,9.4080553
Colorado,052,1,28335.721,5393.3237,268.84247,22064.516,58281,13864,14083,1940,16.39529854910714,72364,175293,-.0012493369,10.040742,10.001726
Colorado,052,0,17472.049,3731.8831,268.84247,22064.516,90608,12526,12321,1940,16.39529854910714,102929,175293,.0011694705,9.528079,10.001726
Colorado,053,1,22339.207,2967.5491,129.03624,18409.416,16776,4288,3566,1940,16.39529854910714,20342,76319,.0094602918,9.8715668,9.8206177
Colorado,053,0,16075.446,1812.2805,129.03624,18409.416,49557,5292,6420,1940,16.39529854910714,55977,76319,-.014780068,9.5654354,9.8206177
Connecticut,054,1,28195.418,4616.0044,257.8938,24244.824,8005,1400,600,1940,16.39529854910714,8605,40113,.019943658,10.06813,10.095959
Connecticut,054,0,21374.48,4127.1885,257.8938,24244.824,30296,3000,1212,1940,16.39529854910714,31508,40113,.044574078,9.7554102,10.095959
